,riding,Ave_Age_All,Ave_Age_Male,Ave_Age_Female,bike_rate,pop,NoPostsecondary_all,NoPostsecondary_male,NoPostsecondary_female,french,HouseNeed,income_all,income_male,income_female,unemploy_all,unemploy_male,unemploy_female,Constituency,Province / Territory,First Name,Last Name,Political Affiliation
172,London West,41.5,40.1,42.8,0.6,114370,37.7,39.1,36.3,1.2,3.6,42800,47200,39200,12.4,10.7,14,London—Fanshawe,Ontario,Kurt,Holman,Conservative
7,Long Range Mountains,48.7,48,49.4,0.1,81790,54.2,54.3,54.1,0.6,3.8,33600,38400,29600,19.8,23.8,15.8,Long Range Mountains,Newfoundland and Labrador,Carol,Anstey,Conservative
79,Longueuil--Charles-LeMoyne,40.8,40.1,41.5,1.4,112260,42.7,43.5,41.8,66.8,2.7,38400,41600,35200,8.5,8.3,8.7,Longueuil—Charles-LeMoyne,Quebec,Sherry,Romanado,Liberal
80,Longueuil--Saint-Hubert,42.8,41.3,44.2,1.5,115080,37.3,37.7,36.8,76.6,2,42800,46400,39200,7.4,7.4,7.3,Longueuil—Saint-Hubert,Quebec,Natilien,Joseph,Liberal
81,Louis-Hébert,44,42.5,45.4,1.7,106115,23,21.6,24.2,84.6,1.2,46400,52000,42000,7.4,6.9,7.9,Louis-Hébert,Quebec,Joël,Lightbound,Liberal
82,Louis-Saint-Laurent--Akiawenhrahk,42.5,41.3,43.6,0.5,113225,34.5,35,34.1,93.6,1,48400,54400,43200,5.6,5.4,5.8,Louis-Saint-Laurent—Akiawenhrahk,Quebec,Gérard,Deltell,Conservative
32,Madawaska--Restigouche,47.9,47.1,48.8,0.3,70560,53,54.9,51.3,78.3,2.8,35600,40400,31200,11,12.8,9,Madawaska—Restigouche,New Brunswick,Guillaume,Deschênes-Thériault,Liberal
14,Malpeque,42.8,42.3,43.3,0.1,38535,41.5,46,37,2.1,3,41200,44800,38000,9.6,9.7,9.4,Malpeque,Prince Edward Island,Heath,MacDonald,Liberal
83,Marc-Aurèle-Fortin,40.2,39.4,40.9,0.5,104635,36.1,37.4,35,61.7,1.5,45200,48800,42000,7,7.4,6.6,Marc-Aurèle-Fortin,Quebec,Carlos,Leitão,Liberal
173,Markham--Stouffville,39.7,38.7,40.7,0.3,120845,38.8,38.3,39.2,0.7,8.2,42400,48400,38400,11.7,10.1,13.4,Markham—Stouffville,Ontario,Helena,Jaczek,Liberal
174,Markham--Thornhill,42.6,41.8,43.4,0.4,111085,47.3,46.8,47.7,0.3,11.9,32800,34000,32400,15.5,14.2,17,Markham—Thornhill,Ontario,Tim,Hodgson,Liberal
175,Markham--Unionville,41.4,40.5,42.3,0.2,116970,37.3,36.3,38.2,0.5,12.5,36000,39600,33600,13.3,11.8,14.8,Markham—Unionville,Ontario,Michael,Ma,Liberal
300,Medicine Hat--Cardston--Warner,41,40,41.9,0.3,103820,52.1,53.8,50.4,0.8,4.7,40400,49600,34400,10.2,10,10.5,Medicine Hat—Cardston—Warner,Alberta,Glen,Motz,Conservative
84,Mégantic--L’Érable--Lotbinière,46.7,45.9,47.6,0.9,103115,47.2,47.7,46.7,96.7,1.9,36400,41200,32000,5.4,4.9,6,Mégantic—L'Érable—Lotbinière,Quebec,Luc,Berthold,Conservative
176,Middlesex--London,41.2,40.4,42.1,0.4,115610,40.6,43,38.3,0.7,2.6,46000,53200,40400,9.1,7.9,10.5,Middlesex—London,Ontario,Lianne,Rood,Conservative
